r	síjavnstrokin
reimhjól	síringur
rein	síbakki,mark
reinaflag	síflag
reinavelta	sídyrka,jarðarstykki
reinavelting	sídyrking
reinføri	Samheiti:reinleiki,reinsemi,reinska(sjálvrøkt)andlitsrøkt,fótarøkt,fríðkan,handarøkt,holdfríðkan,holdrøkt,húðrøkt,likamsrøkt,røkt,tannarøkt,tannbusting,tannrøkt,vakurleikarøktpersóligt reinføri↔húsligur,reinsiverk,reinur,rudda,ruddiligur,rudding,røkt,vaska,vaskingAndheiti:skitføri
reinførur	síhúsligur
reingerð	sírudding,vasking
reingerðarkona	síhjálpari
reingering	sírudding,vasking
reingi	síkallskøp
reinging	síavlaging,ósannindi
reingja	símálbinda
reingresi	sígras
reingresin	síeinskærur
reingresjaður	síeinskærur
reingrøsutur	síeinskærur
reinhald	sírudding,vasking
reinhalda	sívaska
reinhentur	síreinur
reinholdaður	sífríðdæmdur
reinhugaður	síheiðurligur
reinhvítur	sílitaður
reinleiki	síreinføri
reinligur	síheiðurligur,húsligur,reinur
reinlitaður	sílitaður
reinlittur	sílitaður
reinlyndi	sítrúskapur
reinlyndur	síheiðurligur
reinlyntur	síheiðurligur
reinmeintur	síheiðurligur
reinmæltur	símálmikil,mæltur
reinprent	síárit
reinprenta	síprenta
reinsa	síkryvja,rudda,skilja,vaska
reinsaður	síósekur,reinur
reinsan	sískiljing,vasking
reinsanareldur	síreinsiverk
reinsarí	síreinsiverk
reinsemi	síreinføri
reinsibrunnur	síreinsiverk
reinsikrem	síkrem
reinsing	sískiljing,vasking
