sannføring	síváttanSamheiti:álit,bókstavatrúgv,fólkatrúgv,fullvissa,ivaloysi,myndugleikatrúgv,sannkenning,treyst,treysti,trú,trúarvissa,trúgv,trøllatrúgv,turkatrúgv,vissafull vissa;óreingilig trúgv;□har er eingin ivi í, einki flím í;tað er í vissuni(fordómur)ógrundað trúgv(sanngildi)álit,sannføri,sannleiksgildi,trúgildi,trúvirðihald í veruleikanum↔eyðvitað,heiðurligur,líta á,rættvísi,sannindi,trúgvur,trúskapur,trygdAndheiti:illgruni,ivasemi
sannførur	síheiðurligur
sanngildi	sísannføring,sannindi
sannheit	sísannindi
sannhjartaður	síheiðurligur
sanniliga	sínevniligaSamheiti:alvæl,avgjørt,endiliga,fullvæl,gott,marja,partú,vissuliga,vist,víst,vælav sonnum;fyri alt í verðini;fyri Guds sakir, skuld, skyld;nei marja;so sanniliga, vist, víst, væl;víst so;□hann bað hann vælsignaðan (ikki) at...↔eyðvitað,nevniliga,sannur
sanniligur	sísannur
sannindi	Samheiti:beinleiki,rættleiki,sanngildi,sannheit,sannleikaorð,sannleiki,sannleiksorð,sannleikur,sannsøga,sannsøgnav, eftir røttum;□lúgvi eg so er tað logið fyri mær;tað broytist, reingist, ryggist, vikast ikki(sannroynd)lívsroynd,roynd,sannroyning,sjálvroynd,sjálvroynslaav egnum royndum;□tað er royndur leikur, lutur;tað grettir, svitast ikki(veruleiki)álvari,royndskygniav, í álvara(veruleikastevna)realisma↔eyðvitað,heiðurligur,nevniliga,rættvísi,sannføring,sannurAndheiti:ósannindi,veruleikaflótti
sannkenna	sívita
sannkenning	sísannføring
sannkristin	síandligur
sannleikaorð	sísannindi
sannleiki	sísannindi
sannleiksgildi	sísannføring
sannleiksorð	sísannindi
sannleiksvitni	síáskoðari
sannleikur	sísannindi
sannlíkindarokning	síútrokning
sannlíkindi	síframtíðarútlit
sannlíkur	sísannur
sannorðaður	síheiðurligur
sannprógv	síváttan
sannprógva	síprógva
sannroyna	síprógva
sannroynd	sísannindi
sannroyndur	sísannur
sannroyning	sísannindi
sannsagdur	síheiðurligur
sannsakaður	síhálvdeyður
sannsaki	sípinkulingur,seyður
sannsigandi	síheiðurligur
sannspáddur	síspáa
sannspyrja	sífrættast
sannsøga	sífrásøgn,sannindi
sannsøgn	sífrásøgn,sannindi
sannsøguligur	sísannur
